Price,Close,High,Low,Open,Volume
Ticker,F,F,F,F,F
Date,,,,,
2010-10-05,7.187367916107178,7.2205145901203345,7.137647378230557,7.181843294819356,74701900
2010-10-06,7.314429759979248,7.430444152363885,7.203939987912165,7.214989228547269,92326000
2010-10-07,7.358624458312988,7.391771647908799,7.286805986569318,7.358624458312988,53526700
2010-10-08,7.5464606285095215,7.579607832710789,7.33652974018665,7.347578983872719,71857700
2010-10-11,7.612755298614502,7.679049187027087,7.5575106550325115,7.579608617836707,48002800
2010-10-12,7.612755298614502,7.651427128664587,7.463594181400436,7.574083995421409,50056400
2010-10-13,7.535412788391113,7.6845739075086925,7.535412788391112,7.679049285022893,59061900
2010-10-14,7.684573650360107,7.739818819655431,7.612755141018978,7.668000310314302,78814100
2010-10-15,7.623799800872803,7.756387495218533,7.518834147706602,7.734289546160912,61337700
2010-10-18,7.667997360229492,7.679046073723631,7.535409637159153,7.596178878518864,34852700
2010-10-19,7.358624458312988,7.535408591396139,7.28128189401727,7.5298839719873865,84614000
2010-10-20,7.535412788391113,7.585132810192307,7.375202424301936,7.430447068588929,60800200
2010-10-21,7.629326820373535,7.822683803752181,7.546459090191119,7.612752958222955,85365000
2010-10-22,7.706668376922607,7.739815569953749,7.640374517717084,7.656947850804275,38003100
2010-10-25,7.817159175872803,7.844781752574966,7.739816593334942,7.761914549325307,77370800
2010-10-26,7.93317174911499,7.993941509232683,7.690094289214345,7.717716859553596,214814400
2010-10-27,7.861354351043701,7.927648739658145,7.784011775754816,7.9221241194641445,81025700
2010-10-28,7.855829238891602,7.911073853096644,7.767437434678163,7.894500521520802,51719400
2010-10-29,7.806111812591553,7.8613564487022325,7.789538474444041,7.8337343940753525,52281900
2010-11-01,7.861354351043701,7.9386974531893655,7.822683063399259,7.911074879076144,56606000
2010-11-02,7.9718475341796875,7.988420873906276,7.855833102379633,7.911077743753916,54691100
2010-11-03,8.38618278503418,8.397231500023084,7.977369793307719,7.999467750142377,185667300
2010-11-04,8.761847496032715,8.828141362336009,8.507720745108346,8.568490517695643,193232000
2010-11-05,8.955204010009766,8.982827111441466,8.734224993980837,8.828140904564675,141539900
2010-11-08,9.065694808959961,9.109890719977813,8.87233730311425,9.038072759716417,127386000
2010-11-09,8.877862930297852,9.159612290124644,8.77289776144347,9.13199023774925,133717300
2010-11-10,9.18723201751709,9.23142792236146,8.883385303426234,9.015973017959343,139738200
2010-11-11,9.176185607910156,9.203807658642384,8.949681420022067,9.13751431539956,94746200
2010-11-12,9.004929542541504,9.13199377230453,8.861293550138369,9.093321408811509,91657100
2010-11-15,9.391639709472656,9.618143876992262,9.214856071770875,9.286674029444624,233268400
2010-11-16,9.120939254760742,9.623668098795989,9.038072059734388,9.496604996174675,234481200
2010-11-17,9.214858055114746,9.33639656876545,9.126466217238994,9.259053974052623,127748600
2010-11-18,8.905487060546875,9.319824216110435,8.86681470757462,9.264579051292518,256937900
2010-11-19,8.993879318237305,9.049123431893316,8.745276591929551,8.85024230456104,130323600
2010-11-22,8.94968032836914,9.13751320083539,8.899959800144924,8.98282699594743,91288900
2010-11-23,8.673455238342285,8.927581976493517,8.629259329694836,8.844714779493746,96689100
2010-11-24,8.811568260192871,8.872337507528304,8.734225677558108,8.811568260192871,66727700
2010-11-26,8.894438743591309,8.938634669307834,8.70108117343876,8.734228381154653,31557200
2010-11-29,8.872339248657227,8.905486979474537,8.761849446884192,8.905486979474537,61577500
2010-11-30,8.806041717529297,8.83366428823736,8.745272483456931,8.794993005360102,71737400
2010-12-01,9.093317031860352,9.115415514648113,8.916533384412876,8.971778537668625,100724400
2010-12-02,9.270100593566895,9.314296499996328,9.187232347012372,9.236952873459675,82484500
2010-12-03,9.281152725219727,9.29772659231873,9.170663439034952,9.187236252419982,67399500
2010-12-06,9.198281288146973,9.270100292331973,9.126463337675464,9.203805907985318,57290300
2010-12-07,9.148563385009766,9.347445541329693,9.143038763588235,9.341920919908162,64104300
2010-12-08,9.220382690429688,9.242480123074627,9.032549771235484,9.203808825660612,106700000
2010-12-09,9.259051322937012,9.308771849220026,9.203806176654382,9.29219798922118,47280900
2010-12-10,9.242480278015137,9.26457876474436,9.198284358270534,9.214858223317451,38196000
2010-12-13,9.098841667175293,9.23695402367973,9.098841667175293,9.198282732452672,53899700
2010-12-14,9.071218490600586,9.159610303486959,9.05464463054182,9.115414397043773,43070000
2010-12-15,9.143038749694824,9.203808531525524,9.032549482573488,9.04359872539976,44901200
2010-12-16,9.264578819274902,9.264578819274902,9.082270517541133,9.126466437545869,49567600
2010-12-17,9.281152725219727,9.3087758370514,9.214859364251657,9.25905528946836,51948100
2010-12-20,9.308771133422852,9.33639317758341,9.187231610204133,9.308771133422852,41880000
2010-12-21,9.386115074157715,9.391639694541313,9.303247875830952,9.33086992403534,35604000
2010-12-22,9.386115074157715,9.408213555692104,9.30877249621455,9.391639694541313,31602700
2010-12-23,9.270100593566895,9.35296778640789,9.253526733513285,9.33639392635428,25730100
2010-12-27,9.319823265075684,9.319823265075684,9.170661651402563,9.236954999448104,27703900
2010-12-28,9.242480278015137,9.308774684488965,9.198284358270534,9.297725441124353,28413200
2010-12-29,9.248003005981445,9.281149675573985,9.198282474735823,9.209331715837878,25556700
2010-12-30,9.220382690429688,9.308774528437096,9.198284204070921,9.236955501484935,24055100
